text,label
"Win a brand new car by entering this contest now!",spam
"Please review the attached document and send feedback.",ham
"Your account has been compromised! Click to secure it.",spam
"Let’s have lunch tomorrow at 1 PM.",ham
"Earn money fast from home with zero investment.",spam
"Your package will be delivered tomorrow.",ham
"Claim your free vacation today!",spam
"Project deadline is extended to next week.",ham
"Urgent: Update your billing information immediately.",spam
"Can you call me when you're free?",ham
"Lowest prices ever! Visit our store now.",spam
"Class will be held online tomorrow due to weather.",ham
"Congratulations! You've won a $500 gift card.",spam
"Don't forget to submit your assignment.",ham
"Act now! Your credit score is at risk.",spam
"See you at the meeting at 3 PM.",ham
"Get cheap loans instantly with this offer!",spam
"Your friend tagged you in a post.",ham
"Double your income in just 1 week!",spam
"Looking forward to our trip next month.",ham
"Free coupons available! Limited time only.",spam
"Meeting notes are attached. Please review.",ham
"Your subscription will expire soon.",spam
"Happy Birthday! Have a great day.",ham
"Click here to claim your free prize!",spam
"Are you coming to the party tonight?",ham
"Limited seats left! Register now!",spam
"Please find the invoice attached.",ham
"100% guaranteed results! Try it now.",spam
"Team lunch scheduled for Friday.",ham
"Don't miss out on this once-in-a-lifetime deal.",spam
"Let me know when you're available for a call.",ham
"You’ve been selected for a free membership!",spam
"Weather forecast looks great for the weekend.",ham
"Urgent: Your bank account is at risk!",spam
"Thanks for helping me with the project.",ham
"Make $$$ working from your phone!",spam
"Do you want to carpool tomorrow?",ham
"Verify your identity to avoid suspension.",spam
"Meeting postponed to Monday.",ham
"Exclusive deal just for you! Click now.",spam
"Let's catch up soon!",ham
"Congratulations! You’ve been chosen!",spam
"Please approve the leave request.",ham
"Claim your lottery prize today!",spam
"How was your weekend?",ham
"Don't miss this limited-time offer!",spam
"Can we meet at 6 PM instead?",ham
"Special promotion just for our valued customers.",spam
"Reminder: team meeting at 10 AM.",ham